Ab. Y Paleteria La Chaparrita,1,4.0,N/A,23.6345012367459,-102.552784122527,Taylor Lake Village,TX
Mattheessen's,129,4.5,$$,24.5564379547029,-81.8031256645918,Key West,FL
Kilwins,72,4.5,$$,24.5556659412867,-81.8028039384963,Key West,FL
Flamingo Crossing,120,4.0,$,24.5501307450821,-81.7984482444695,Key West,FL
Key Lime Pie Bakery,160,4.0,$,24.5585744,-81.8058053,Key West,FL
Carpe Diem,8,4.0,$,24.5590058,-81.8064201,Key West,FL
Blue Gecko Key Lime Pie & Ice,8,4.5,$,24.55865,-81.8062,Key West,FL
Key West Polar Bear Ice Cream,6,3.5,$,24.551059,-81.798904,Key W,FL
Key West Polar Bear Homemade Ice Cream,22,2.5,$$,24.5580475777388,-81.8067044019699,Key West,FL
Haagen Dazs Shop,8,3.5,$$$,24.56009,-81.8063899,Key West,FL
Haagen Dazs Shop,9,3.5,$$,24.5542107,-81.8013,Key West,FL
Boardwalk Frozen Custard,8,2.5,$,24.55723,-81.80354,Key West,FL
Court House Deli,7,3.5,N/A,24.5539588928223,-81.8032302856445,Key West,FL
Sweet Savannah's,199,4.5,$,24.7242332,-81.0512771,Marathon,FL
Island Time Diner,20,4.5,$,24.7154032254173,-81.0786234936408,Marathon,FL
Cone Republic,18,5.0,$$,24.6693495039296,-81.3514560681925,Big Pine Key,FL
Jimmy Sno Concessions,4,5.0,$,24.67008,-81.351737,Big Pine Key,FL
Hoffman's Chocolates Sweet Ride,2,5.0,$$,26.6178932189941,-80.1250991821289,Greenacres,FL
The Frieze,287,4.5,$,25.7900402,-80.1389149,Miami Beach,FL
Gelato-go South Beach,166,4.5,$$,25.774311,-80.1322684,Miami Beach,FL
Mr. Kream,91,4.5,$$,25.800199,-80.195291,Miami,FL
Azucar Ice Cream Company,573,4.5,$,25.76597,-80.21969,Miami,FL
Ferli Gelato Espresso Bar,144,4.0,$,25.783908,-80.132069,Miami Beach,FL
Bianco Gelato,187,4.5,$,25.7272652,-80.2441617,Miami,FL
Lulu's Nitrogen Ice Cream,214,4.0,$$,25.7955013810583,-80.1888305748715,Miami,FL
Milani Gelateria,149,4.0,$,25.786957,-80.132638,Miami Beach,FL
Mr Bing,9,5.0,$,25.7909097332048,-80.138318494335,Miami Beach,FL
Vicky's House Milkshake Bar and Tasting,101,4.0,$$,25.72761,-80.24514,Miami,FL
Milk Gone Nuts,41,4.5,$$,25.79439,-80.14172,Miami Beach,FL
Latteria Italiana,117,4.5,$,25.8077660301093,-80.1928044841309,Miami,FL
Mammamia Gelato Italiano,40,4.0,$$,25.7798989,-80.1308823,Miami Beach,FL
YUZU Frozen Yogurt and Crêpes,99,3.5,$,25.7663083,-80.1980035,Miami,FL
Yogurt By U,13,3.0,$,25.6900122,-80.1641589,Key Biscayne,FL
KITH Treats,29,3.5,$$$,25.7952399,-80.129113,Miami Beach,FL
Serendipity Creamery,35,3.5,$$,25.80140588415,-80.2022508904338,Miami,FL
